X,Y,Z,Bx,By,Bz
34.0,86.99264745632279,-78.00735254367721,0.078,-0.017,0.031
44.0,86.99264745632279,-78.00735254367721,0.114,-0.029,0.019
54.0,86.99264745632279,-78.00735254367721,0.123,-0.053,0.018
64.0,86.99264745632279,-78.00735254367721,0.142,-0.082,0.005
74.0,86.99264745632279,-78.00735254367721,0.156,-0.1129999999999999,-0.014
84.0,86.99264745632279,-78.00735254367721,0.135,-0.148,-0.028
94.0,86.99264745632279,-78.00735254367721,0.127,-0.171,-0.051
104.0,86.99264745632279,-78.00735254367721,0.0839999999999999,-0.195,-0.058
114.0,86.99264745632279,-78.00735254367721,0.046,-0.207,-0.063
124.0,86.99264745632279,-78.00735254367721,0.012,-0.206,-0.0689999999999999
134.0,86.99264745632279,-78.00735254367721,-0.031,-0.2,-0.063
144.0,86.99264745632279,-78.00735254367721,-0.053,-0.184,-0.06
154.0,86.99264745632279,-78.00735254367721,-0.068,-0.165,-0.053
164.0,86.99264745632279,-78.00735254367721,-0.0989999999999999,-0.149,-0.034
174.0,86.99264745632279,-78.00735254367721,-0.0989999999999999,-0.125,-0.026
184.0,86.99264745632279,-78.00735254367721,-0.1,-0.107,-0.014
194.0,86.99264745632279,-78.00735254367721,-0.097,-0.088,-0.008
204.0,86.99264745632279,-78.00735254367721,-0.095,-0.075,-0.002
214.0,86.99264745632279,-78.00735254367721,-0.083,-0.062,-0.002
224.0,86.99264745632279,-78.00735254367721,-0.087,-0.053,0.005
234.0,86.99264745632279,-78.00735254367721,-0.087,-0.0419999999999999,0.006
244.0,86.99264745632279,-78.00735254367721,-0.08,-0.03,0.008
254.0,86.99264745632279,-78.00735254367721,-0.072,-0.019,0.007
264.0,86.99264745632279,-78.00735254367721,-0.074,-0.008,0.008
274.0,86.99264745632279,-78.00735254367721,-0.068,0.0,0.005
284.0,86.99264745632279,-78.00735254367721,-0.08,0.005,0.01
294.0,86.99264745632279,-78.00735254367721,-0.068,0.014,0.001
304.0,86.99264745632279,-78.00735254367721,-0.074,0.024,0.008
314.0,86.99264745632279,-78.00735254367721,-0.057,0.038,-0.0
324.0,86.99264745632279,-78.00735254367721,-0.074,0.043,0.006
334.0,86.99264745632279,-78.00735254367721,-0.082,0.0419999999999999,0.009
344.0,86.99264745632279,-78.00735254367721,-0.064,0.045,0.001
354.0,86.99264745632279,-78.00735254367721,-0.0839999999999999,0.041,0.01
364.0,86.99264745632279,-78.00735254367721,-0.082,0.0419999999999999,0.009
374.0,86.99264745632279,-78.00735254367721,-0.068,0.044,0.003
