R,Bx,By,Bz
-90.42897363164118,0.008,0.17300000000000001,0.125
-81.81669042862774,0.008,0.15100000000000002,0.106
-73.2044072256143,0.006,0.132,0.092
-64.59212402260086,-0.01,0.107,0.083
-55.97984081958741,-0.018000000000000002,0.08399999999999999,0.07100000000000001
-47.36755761657396,-0.018000000000000002,0.062,0.056
-38.755274413560514,0.008,0.048,0.027
-30.142991210547066,0.016,0.027,0.012
-21.530708007533633,-0.0,0.005,0.001
-12.918424804520185,-0.0,-0.016,-0.013
-4.306141601506738,-0.004,-0.038,-0.028
4.3061416015067095,0.006,-0.055,-0.047
12.918424804520157,0.008,-0.077,-0.059
21.530708007533605,-0.004,-0.097,-0.074
30.142991210547052,-0.004,-0.12000000000000001,-0.087
38.7552744135605,0.004,-0.13999999999999999,-0.111
47.36755761657395,-0.0,-0.159,-0.11900000000000001
55.979840819587395,-0.002,-0.182,-0.134
64.59212402260084,0.008,-0.19799999999999998,-0.154
73.20440722561429,-0.01,-0.224,-0.164
81.81669042862771,0.004,-0.23900000000000002,-0.186
90.42897363164116,-0.006,-0.263,-0.196
